New York, Average Temperature, Precipitation
Temperature_Units: Degrees Fahrenheit
Precipitation_Units: Inches
Base Period: 1930-2000
Source: https://www.ncdc.noaa.gov/cag/city/time-series
Missing: -99
Date,Av_Temp_Value,Precc_Value
193001,32.6,2.37
193002,36.3,3.25
193003,39.6,2.23
193004,47.7,2.31
193005,63.1,3.43
193006,72.8,2.92
193007,75.7,6.61
193008,72.8,4.33
193009,71.3,1.48
193010,54.8,1.71
193011,44.7,5.62
193012,33.9,2.74
193101,32.0,2.56
193102,33.2,2.70
193103,39.6,4.83
193104,50.4,3.80
193105,60.7,4.38
193106,70.0,3.76
193107,76.8,3.39
193108,74.5,3.24
193109,71.7,1.57
193110,60.6,2.80
193111,51.2,0.61
193112,40.2,2.44
193201,42.5,4.45
193202,35.4,2.70
193203,36.6,5.82
193204,48.3,2.34
193205,61.3,2.95
193206,69.8,4.36
193207,75.4,1.42
193208,76.0,3.20
193209,68.7,1.23
193210,57.7,5.58
193211,43.3,7.37
193212,38.4,2.52
193301,39.5,1.78
193302,33.4,3.09
193303,37.9,6.08
193304,49.9,5.19
193305,63.9,5.20
193306,71.9,2.67
193307,75.3,3.72
193308,74.4,8.85
193309,69.1,10.0
193310,55.6,2.52
193311,41.4,0.90
193312,32.2,3.45
193401,34.2,3.42
193402,19.5,3.01
193403,36.8,4.48
193404,49.8,3.45
193405,63.2,5.19
193406,73.3,3.68
193407,77.3,4.24
193408,71.5,2.78
193409,68.8,11.9
193410,54.0,2.82
193411,48.4,2.17
193412,32.9,2.66
193501,28.4,3.91
193502,30.7,3.17
193503,42.9,2.48
193504,49.2,1.54
193505,59.4,1.06
193506,69.6,3.98
193507,76.8,5.24
193508,74.2,1.43
193509,64.8,4.34
193510,57.0,2.24
193511,48.2,3.26
193512,29.5,1.25
193601,28.8,7.54
193602,25.2,2.68
193603,44.7,5.45
193604,47.4,3.31
193605,63.9,2.97
193606,69.3,4.62
193607,75.7,1.89
193608,74.9,4.00
193609,67.7,4.82
193610,57.1,3.90
193611,42.2,1.14
193612,38.1,7.53
193701,39.8,5.96
193702,34.3,2.48
193703,36.0,2.90
193704,49.1,5.09
193705,63.7,2.91
193706,71.4,4.36
193707,76.1,5.54
193708,76.2,7.33
193709,65.6,5.06
193710,54.6,4.56
193711,45.9,4.73
193712,34.9,2.06
193801,31.7,3.99
193802,34.9,1.97
193803,43.7,2.22
193804,53.2,3.38
193805,60.3,3.37
193806,69.8,7.13
193807,76.1,5.83
193808,77.7,3.92
193809,65.5,9.06
193810,59.4,1.75
193811,47.8,3.28
193812,36.5,2.63
193901,31.7,3.80
193902,36.5,6.20
193903,38.7,4.77
193904,47.8,4.26
193905,64.5,0.89
193906,72.5,3.80
193907,76.2,0.99
193908,77.6,4.83
193909,68.1,1.90
193910,56.8,4.31
193911,43.2,1.40
193912,36.4,1.39
194001,24.5,2.61
194002,32.4,2.63
194003,34.6,4.73
194004,46.3,5.46
194005,60.2,7.61
194006,70.0,3.02
194007,75.8,3.30
194008,70.9,4.13
194009,66.1,2.82
194010,53.3,2.43
194011,44.9,3.55
194012,37.9,2.80
194101,29.0,3.23
194102,30.6,3.53
194103,35.4,3.05
194104,56.4,2.40
194105,64.2,2.25
194106,71.5,4.77
194107,75.4,4.07
194108,73.6,5.92
194109,69.5,0.51
194110,60.2,1.87
194111,49.6,3.39
194112,37.9,4.05
194201,30.3,2.88
194202,29.2,2.54
194203,42.5,5.91
194204,53.4,1.09
194205,64.8,1.78
194206,70.5,3.59
194207,75.8,7.15
194208,73.1,9.07
194209,67.8,4.23
194210,58.3,1.98
194211,46.5,3.72
194212,30.6,4.57
194301,30.3,2.46
194302,34.1,1.88
194303,39.7,3.68
194304,45.6,1.72
194305,62.1,5.05
194306,75.7,2.17
194307,76.4,3.38
194308,75.4,3.80
194309,66.9,1.71
194310,55.3,7.61
194311,44.9,2.11
194312,32.6,1.20
194401,33.4,3.20
194402,32.7,1.73
194403,37.1,5.98
194404,48.4,4.76
194405,66.5,1.18
194406,71.8,3.35
194407,78.9,1.83
194408,77.3,1.84
194409,69.6,10.3
194410,56.6,2.33
194411,45.5,5.96
194412,31.9,2.57
194501,24.7,2.25
194502,33.4,2.93
194503,50.6,2.23
194504,55.1,3.66
194505,58.7,5.34
194506,70.4,4.02
194507,74.1,5.16
194508,72.9,2.75
